 	27
002A3D06EB850648	28
002ADE8214B12743	32
002AFE0C1AE4DDC1	24
002B3CD7DA0C5A68	29
002BAAAB51FDA396	27
002BB5A52580A8ED	25
002BC62052E5FBF6	29
002C33372BDA8957	21
002C818064FB5E51	27
002CE5C10B018772	26
002D2F8302C0F91A	23
002DDCD335ECF04C	36
002DF28FCDB507A3	31
002EA13DF21B65F4	27
002EAC2388EC8C05	42
002ED23562C531F1	27
002F0B1BF2448FC8	26
002F24D2FB22D87A	38
002F41AD278BC43E	34
002F69C985F2A052	26
002FCF64501CA0FD	31
003032CB53CFA2BB	28
00303F72ED11AE48	25
003081C40F126B06	40
0030990F09FECA94	32
0030B430BC51CFE5	26
00313AADC27C0486	31
00315C1E3E4DCCC3	29
0031B02B9D908914	31
0031E4EE0FA5656B	24
0031FDB529BDA1C6	22
00327441DBAA7B6E	37
0032DDE1E3CA202F	23
0033021CF09C7262	32
003312CB07B59D04	24
0033143E38DD363E	32
00331EA0BAF281EB	26
003320DD1162F8F3	27
00343A5BDCCEEE44	22
0034519289CAE733	21
003493F948246C09	38
003522FCE28D91F3	27
003597576B792EFF	33
00360212F256300B	26
003623FD75A705C3	30
0036932FCCC0AADE	23
0036ABAE0F89522F	27
0036C15BC03B3721	33
0036D7DC5490C7D4	24
0036E85B801C4AA4	30
00371699E4F7A992	36
00376CF3179F9419	29
003770FA2E43F0EE	32
003865D6D5C1F97A	26
00386DDE46AA2A2B	35
00387DF3E0EBC4DC	27
0038B48304D550C8	35
0038EDBBDD246109	25
0039C2177F219215	28
0039CAB8BA4FFB5A	29
0039E8948109F8DD	30
0039F4D9EBB9D9C8	35
003A198CDED64136	30
003A1C65FD5948BF	22
003B54B8D5BFFD0F	23
003BC3C0E2AE625B	32
003BC57351FEA311	23
003BDE523D6B7EA6	30
003C018DFB145A5C	24
003C6D8E6D58AD71	19
003C9ED06755D83D	27
003D33D3E286D816	26
003D6068ABD63860	28
003D74D46F0DC26A	38
003DD0ECB9E7F51A	26
003DDCEFE66D7143	27
003E093C6F0F917C	34
003E67A2023B50B0	37
003E7F89817A3465	37
003E9A0E6AF83F0F	27
003EAF12AC026BF6	26
004094CAC4FFDEAC	27
0041DD27C880D951	29
004275F04723BFD1	36
0042D8841CE2ABFA	26
00434C21E995BE7F	36
0043AA52238DA1BC	34
0043CA7DD4E4DD9E	28
00443C2EFC111AF4	37
0044415297536F93	21
0044B144E91D459A	28
0044E15E729D70F2	35
0044F8AF5B94EA5E	36
00453C4D67CB1B04	27
0045C1F2BF33AE96	27
004649050E5485F5	34
00465B8057D246EC	32
0046765BBA53EC9D	28
004677B3B4D76BE2	36
004679E5C22A0C77	31
0046D891FD3C1A76	30
004765C800928CB7	31
0047725D3B58C3A3	27
00478BF72C6354D6	29
004A0B35B405522A	29
004A1B4B5F7A6A78	20
004AD9AA3F3312CC	26
004BBCDBCC724FF4	33
004BC632DF64546F	37
004C0844F9A8793B	34
004C37FA92CFC9CC	37
004C4F9918C419FF	34
004CBAD12D9A9423	28
004D23BB2CF0F2C6	28
004D2AFC86056B0F	29
004D3418A795754A	34
004D3D6AED938F51	26
004DB80044294905	31
004E0D8CBEDA5076	30
004E395A5F09805E	27
004E768FC378054E	31
004F3595D4D44389	28
005000C65D8ED921	27
0050283AB307C0F7	39
0050899A54DC8A2A	26
00510ACBC92CD5CF	44
00513109BCEF46B5	28
0051BFF3485E2F1E	34
0051DFCEF90FEA7B	32
0051F9A9A3D1D7EC	31
005204764222E531	26
0052139F66AB7BE0	36
00523A0234F249C0	28
00526C5CF38929C4	22
0052760FC890D09B	15
0052BD3F71A38F84	34
0052E0B7D97200E5	29
00532722316DAD2A	23
0053475AAF294D6C	31
0053ABC01CD4AAF0	29
0053C11E9CA570DB	31
00549E0D1B35BCC9	30
00552153F9303ACB	27
00553F106E0E5827	37
00559151EFC30611	28
0055A7DAC5D0121C	34
00564A2193BB1C95	30
00564A33C63C3A8C	29
005653381DF4B20F	29
0056690CE878DF59	37
005682A95D160F10	28
0056843EE7ACC6D5	22
0056FCC53F6A8888	26
00581443AFA1ADE8	35
00581D63974BDC01	28
00584A8CD9173A9F	22
00584E3379F07590	24
00591A00BCE3EE4D	35
005960E3A75DE15A	25
005970460193FC4A	35
0059978B2D551FD3	39
0059B0DA3A1AAE0C	31
005A07DF6D642769	31
005A1CF5E1703148	38
005A1EE605DCD975	37
005A843512464E6A	36
005A879C42FB89D1	31
005A904F4320E681	31
005A9F102A15C1B8	36
005B13C976D8FAE5	25
005B1A2EF169F243	35
005B3D6615E1FE41	30
005BA112011E7455	32
005BA7BE8C05996B	27
005BD9CD3AC6BB38	29
005C1EA8AC993609	24
005CC72D1D9A55DA	31
005CE9F7AE6408A3	33
005CF711E158D9AE	33
005D2F4378361F43	28
005D4FFFE53097A8	25
005DBAEF2DC8229D	34
005DFE342D0591FA	23
005E2C5248447826	27
005EB0756193F309	22
005FB83932013284	21
006093596B0E9897	40
00609C605729B191	20
0060DF42B7A1EF23	29
0060E4642A85FB1C	32
0061CFC51D6546EC	33
00621A3E694607CD	35
0062886B6AB841C8	31
00629435C59E5C14	30
0062A27737923AEE	38
0063881C8581F89C	30
0064113C79ABA618	25
0064177D6F154C55	23
00643EAF35D0A929	30
00648411DCAF33CD	27
0064D8451D20F01F	28
0065256B6867A877	28
00659F315E8DB044	30
0065B8A4F34013BE	34
0065C726AC0B9608	28
00660A77E4328960	36
006610157060E7F5	37
0066E3BDC42CD96F	32
006706A7E613667A	27
006723F0CAB474E3	34
00672BDF49CE0C78	28
0067C253084B704B	32
0067D03C2966738D	25
00683E630A682F63	34
00684000FEC778BA	42
00685C0C2A7901BC	31
0068C406C403E2E2	27
0069AD77755B7F86	26
0069E7B75A19D9CB	30
006A59B9332FC7E7	30
006A9265FE45BEC4	28
006B1F921A98F4AA	30
006B2EA3348411C5	27
006B67F5B192D94A	33
006B82167FE27752	26
006B830C60B27190	29
006BC25FED38A20B	41
006C174CA206EB9B	28
006C34816ADE4ABF	28
006CC8BC77400666	29
006D6AEE34B35EA7	23
006D6E6F9C88AD34	32
006E2D1B7CB3060C	37
006E7B2886F7E1E3	35
006EAD97C0676DEF	33
006EF98E0C8657A6	22
006F15BF36BE5493	22
006F27502C4CB8DB	28
006FD9904D239199	29
006FEAF743F20F1A	32
00701F40ADDA4B31	23
007048B086987155	30
0070CB3B4ADBB625	27
007145D75BD474EB	33
007157122C4ADB43	39
0071681DACDC3C07	29
00717626F3B104A5	35
007227B1C93E045C	33
00725BAF162DAB1E	36
0072A2657B8BC805	30
0072E83F834F8B40	25
00738FFCBC3FE027	28
0073A60F42243DF8	31
00740B398633E43C	33
0074810823F3DAF2	19
0074AB0B6F857368	33
0074B24CD4FE7CD7	23
007593D037D56D00	20
00763C60B3927482	24
00765E6DE0B6AD46	23
00767E5067828D60	29
00768887350DADB0	38
00769C7227136C12	23
0076A2FBC0117222	23
0076BF1BC8190B0B	29
0077166F81A8073B	38
007797C2820001D7	33
00781BFB3535EB14	22
0079A15EA77C8DAB	31
0079AA58D93FD348	27
007A554157D19E20	30
007A625C6BBD224E	28
007AC5FE6B0ECA8C	32
007ACA5C39149CCD	37
007B0C31282C7F1C	34
007B595E49E34937	28
007B5C2AD5774C21	31
007B8F99DEBDF863	33
007BB13125FCC4F8	32
007C00B774A34D9A	33
007C1C1FBBDA9D9F	35
007C6A93B22A235A	22
007C8B2E5A83E3A0	37
007CC36174137432	30
007CC4415DB18EA4	26
007D11721B34B077	30
007DA2B634A2061B	30
007DB16CCD8A5703	31
007DBFA48BA94323	26
007DD99A8A926E82	36
007DDD933D636D5C	30
007DED6BCFAD42E5	31
007E4E971A9DB198	24
007E669CE4B27A42	29
007E94A0DFF8E9AD	22
007EC48A7E432AE8	36
007EDE7A4B5A1573	27
007F30B7E5506C2F	28
007F5F4E8014F034	35
0080273CE37EA3D6	33
00804666E9D09126	38
00806C80D0236418	27
00806F7DB0D0A147	34
008252DDEAE87C46	29
00827A98488D7612	24
0082A74D6C116846	30
00830D3EDF37CE29	26
00830E568703EE86	35
00836E7E2CE446D3	36
00837474D06360A5	24
0083B14730BCE146	33
0083E570440876FC	30
00845BF201B71958	33
008465B4C24DB8EF	33
0084CDD3DB94404B	32
0084F4C38B397461	33
0085061814A0563A	21
00857332497EB574	36
008590F84F63422E	41
0085CB3DB7120DB2	24
0085D563FDBCEDF1	25
0085F5B0F055AA90	29
00864BA4E752BE33	29
0086EC7875970B75	27
0086FF78D33D80C2	31
0087DB90E39E9FA7	38
00881A2550414C80	25
0088EEE9568EE57C	30
0089238CD420D3C6	27
00893561D0C36DAF	25
008968B6F5AA7E8F	25
00898A62C61D045E	27
0089B23970CD7FA3	23
008A099972DC31DD	33
008A15E5B49387FB	35
008A1CE1761507FD	16
008A711491AA9EC2	41
008A826863AD544F	22
008A95E621B9FC88	32
008A9C1463A23069	27
008AE65ADD51FBBD	33
008B57C9FB1C832D	32
008B5ED9749F441E	27
008B64A336524260	22
008BC328C8178868	32
008C4904F4B643A7	38
008C4D508AADCFE2	33
008D6DE682DFB8EA	27
008E07219519300C	21
008E1002C0DAF2B5	20
008E4E6F3D0DF68C	27
008FDBAE21CA1809	24
008FE22DAA11D2FC	35
008FE40709B44273	34
008FF9BF13FEC2DF	36
009019C09A6E80C5	29
009053BA9A270384	31
0090996D4D4D14EB	31
0090EABF9513FA90	30
009149DEB0349062	32
0091A9B079B77B0F	26
0092D2007E88FF1A	33
009304B40C8D7A7F	25
009317BF06C4D5BD	33
00935AEA464D91C2	40
00938BB349526974	28
0094D13B3C23D8C4	24
0095417AA4182E38	28
00957BCDE10EFBD3	28
00959B00E8152950	26
0095B43BA59AF012	26
0095D333D9D3E857	33
0095E49CACDEA5F9	24
00965142194EA8A6	21
00965DDA239A2EB1	25
00967F544A279E83	28
00969DF889591D6A	35
009704812225BCE3	32
0098027BD2E73D58	26
009834692F67F92B	22
00986BA08EDCE38A	33
00987785B8C48368	22
0098849224F65963	31
0098A371B385BCB7	28
0098C954E0AFEB46	18
00993272CA513EAB	26
0099678F7387C973	28
009AB63D951E5E01	27
009B2CEA046B9D50	29
009B301BF9F93B49	37
009B9AB4DE9D93BA	28
009BCD07B948381E	36
009BD55703FD0BE0	37
009BF77058328FFF	34
009CBD7EBF50F823	27
009CF71B50D9DABA	32
009CFE2E07A7400B	32
009DBD383772E8AF	35
009F0C55C209CF42	33
009F34AD00BBE577	23
009F39056B25DE31	27
009FC138C0FB3692	28
009FE77DE8BC457C	30
009FF90C199D3EA3	24
00A03862A2899A28	26
00A044649B397B9D	33
00A064F4F7AADC35	33
00A066EDF66D6FCD	35
00A068E410A6E472	21
00A08A54CD03EB95	27
00A109CE4E795D25	29
00A15E9664826080	25
00A1B674D1C08882	26
00A1D4A7EE99AFAA	26
00A261AFA14715AA	28
00A2955871A33147	32
00A2D20BCEE32373	31
00A2EE73D11D3A54	27
00A409E8ACC71FAD	24
00A4C4A18B81339A	27
00A4F5EFDCB1B2FF	27
00A531D8541CB8FA	41
00A56FDC5DFB8234	24
00A596EF3880F8C9	21
00A5B75CB14CFA7D	21
00A620616A943DD1	27
00A78B789F2B5B3C	27
00A7A888AE0F31FD	29
00A81C26D40F9AB2	33
00A8211C99FBA9C6	27
00A8999A3641D339	30
00A8CE01723DD5A4	31
00A8E0DBF66FDB38	24
00A8EBE0368CCEBF	28
00A970BFDD9FFE6D	29
00A9F7D6C198AD8F	28
00AAF46A9A45B832	30
00AB8ABDEAE2965F	34
00AB9280DBF6A9E6	23
00ABDB8833F449E3	25
00AC0D0DE0D46D00	27
00AC27606ECDADAA	35
00AC42A99FE124EC	34
00AD0E8C4A04E45D	34
00AD5E831D1D8F99	20
00AE095CB51097C0	23
00AE3EBD2BA9BEDF	37
00AEB7F39C18E558	27
00AEFBDAAD415835	20
00AF089B16B59937	24
00AF443D4CBAED12	33
00AF546D3484C6B1	23
00AF709C2DDE9B65	26
00B004772EBDE5DC	21
00B0F66EB61C8386	32
00B139E376AF2739	37
00B13A1472FC1D03	26
00B1F6F04F02CAF2	24
00B21EE010BD734F	30
00B2244A12C6D32B	25
00B262BA11EA0D1A	22
00B2A97DED351502	23
00B2D72ABCD8A5FD	30
00B321BC7FA0F9AF	32
00B3804B304FD02A	24
00B3C4507B643460	36
00B425E53142EA6B	25
00B454B32AFE40E7	34
00B517D606BED768	23
00B5336DFF20E18C	36
00B581B8965D96BE	22
00B5887D159515C5	33
00B5DC93CF68BB04	28
00B5EA9396665446	25
00B70FF70681A6A4	20
00B77EC4147D1F94	29
00B7D37877E2D684	26
00B841C2EF464186	23
00B8FFA73C1D218A	30
00B906BDC8769D0D	39
00B93A6E9C90A392	32
00B9641A50C60A3F	25
00B9C0B0ADD4907F	28
00BA6D6849C55EA8	35
00BA6F1F1D2A64C5	32
00BB156BBD4D15F3	32
00BB7D79055C4A22	27
00BBEB74D54DE062	31
00BBF20F533A4BE7	29
00BBF402DFFAA95E	29
00BBF8A395A393C8	25
00BC051621EC5AA1	23
00BC4AF5E074850F	31
00BC4B824485123B	29
00BCA416D4D4EDBF	26
00BCB7DBDDBA9B21	25
00BCDD5CDDB0CB58	30
00BCE4FD7A0ACE4D	30
00BCE67386EA8AA4	25
00BCF140DBD219FF	25
00BD63BA14979F86	32
00BDF2C861281638	30
00BE358438645804	25
00BEE3711B887755	32
00BF47381A010DFD	36
00BFFB8A4941058E	40
00C0B1991260BD01	34
00C1221BFB4285A6	18
00C151FA5F9A3B2A	20
00C15DAF205B7BB7	30
00C18F9432B74CFB	31
00C1AA2B61EBE758	30
00C1BABF60177D5A	28
00C1CF6F62C169FA	36
00C2BA97E1CD72E6	29
00C2DC6FC0D0078D	27
00C2F7B6B22C4892	30
00C3172885298256	27
00C3AD0508F6DE48	24
00C402F55C2DF71A	31
00C471396BFDCD59	26
00C487F6B096D9C2	19
00C5A8151DC13FA4	32
00C62B9947CA7AB0	28
00C64C75B77277A3	21
00C65478AADD1A56	31
00C6DDB6B3EDF66B	24
00C711A5CADA8DF1	36
00C7B449EED7AB5F	38
00C7D6A8B46B6DD1	30
00C7F2255262462F	29
00C82A43FEBD10AE	26
00C849A17804BB01	29
00C877B473444C32	40
00C89A9286330537	23
00C8BE74ED9B8DA0	30
00C9392C3B2D8B1F	27
00C966D9D0BCF8D0	36
00C983DF6028381C	37
00C9D159AF23DE54	33
00C9E730E9C52982	30
00C9F0676528F11B	36
00CA089A50BB87DE	30
00CB28FA3FEBF4FD	32
00CB3D87F2775909	22
00CB4C462BB5A959	27
00CB8A08BAE9767C	32
00CBB7E2E77DB8D5	28
00CBBF93F737D050	25
00CBC7D195A565B1	26
00CBF142822F5824	27
00CC411A1D52B5DC	28
00CC4E331665FC92	31
00CD7680483249CA	26
00CDB841204C2C12	25
00CDCB1923551363	33
00CDD68093B56E0D	31
00CE3DBDDBD8FB26	29
00CEAB4B5651BF1C	26
00CEBBF6A18D47DB	29
00CEF246CCC39E19	34
00CFC434A696AB6A	22
00CFCA9F5E3E7AD1	24
00CFCE6C1804ED94	29
00CFDA93C3BCF9FC	33
00CFDB7E7CD54858	31
00D0EC658E2C78CC	28
00D1E4B7C6C5523D	37
00D1EA9617F5E0AB	27
00D1F6150D19777C	37
00D2021DA395DCD5	30
00D24EA9D5648FE8	29
00D2765109B3A742	34
00D2B33DE76633AA	30
00D2B6F3EB3A15C9	33
00D2D2EF0D2E8AC6	14
00D31C973F13C094	31
00D3A999C56D8DCA	30
00D3D5874AD6A4F2	44
00D3E8FCA9C3784F	21
00D3F6084DA04BCC	22
00D42DE4BB92251F	33
00D44D837CB049CB	27
00D4EB10E339DB7F	25
00D4F537637DB53C	28
00D4FB27BDDD9EAD	29
00D5AACFB0CB5757	22
00D5BFCC997B3195	29
00D5D38061DF7318	33
00D65C87E1A727BD	38
00D66171F04D6B3F	24
00D75745D0C7ABD8	29
00D75F94738768D0	31
00D76F778677A05A	35
00D774B73B3EE313	26
00D77A0C0007DFE9	33
00D871F7F1A99767	34
00D8AC73085E701F	32
00D8F840D1C51F02	30
00D992D505F3F8AB	37
00DA6CD14B33233B	38
00DA761AB6BCEBD2	23
00DB5A4E785D6405	28
00DC07A1923AEB21	26
00DC281A628A4E54	26
00DC4D745A0BAAF5	26
00DC9ADDFF6C8DF8	32
00DCF19E8E5037DA	28
00DE25CCB2C0F615	25
00DE42015BC21A0D	23
00DE556D7EDC8066	30
00DE5E4D80EAEB74	25
00DE6371524B62DC	25
00DE6DDADBDABE1C	25
00DEB90743C541D8	33
00DF681ECB1368BB	29
00E042C7F5547906	24
00E07C803F0CE658	31
00E099D71A0D539F	27
00E09B54CCA9EC90	31
00E0F3227FBA360F	28
00E1063959E23D77	28
00E19E56EF4CCB32	34
00E1BBC2D6192CD0	32
00E2CDD946AE14D6	25
00E39CF1E0D58BB8	35
00E426739514E811	36
00E4A9CBE7D09DAB	23
00E4AFFAA3D50867	26
00E525636170D85A	31
00E52FC6C9F55FCE	37
00E544671DED155F	32
00E5DB796EF74DAB	26
00E5E1AB5881F646	36
00E67F10203852B1	23
00E693144EBD066C	26
00E73CB210ABD618	29
00E79A3AE196BE0E	37
00E81994B730168E	27
00E887AFC2834EEA	43
00E8A66B527A3DC8	28
00E8D6DBBEC896C4	31
00E8E793C776A823	25
00E963A6FB88BF97	23
00E9FBCBE76F03A5	33
00EA0E2F716D3EE9	39
00EA590ABD6D21BA	28
00EAEFA9F2CF2383	27
00EB01AC2F28D2CC	29
00EB54CC1785F3AF	27
00EB5DC0A86BE27D	37
00EB7D0071538060	33
00EB9817070289B8	38
00EBC84F4B95CFD6	23
00EBEF2DC2AADE34	31
00EBF643088EB341	19
00EBFAEFF73DFE8F	26
00ECD31E33D8D6F9	29
00ED1CE83E803D49	38
00ED2431F0A394D1	31
00ED92FD7DC4A008	32
00EDD80A22BE7536	32
00EE1283C9ECBA17	29
00EE5E0A8B84CBF7	24
00EEC77089D2CBCE	29
00EF366FEEF861F4	31
00EF95D89C258A76	31
00EFB0A8CD08A516	33
00EFDC028527780E	20
00F00437778FE2E1	39
00F024BEB54ADC3B	35
00F03B4B328908D5	36
00F04D30E8E75CA7	30
00F09E70F6A1D11F	31
00F11A68CA462538	37
00F12CC9A9181337	35
00F141F83B82B290	24
00F155B48C969B45	41
00F1562CFA5931D6	23
00F19448227FE722	37
00F1B04DDD8EE8B5	30
00F225E7CBDE5B18	20
00F24353AEF64BBD	28
00F268F25217858B	34
00F430DC294BBCB4	34
00F465B5F4F2DD65	36
00F46626D31A4B32	33
00F5F0E8D1D03907	21
00F5F74AECE74350	34
00F5FE5BEB633B3B	29
00F61A9F1406EDA9	28
00F66183D2161E86	33
00F6E668F7DB7C31	25
00F70FFB409AB3E9	27
00F76E3008CED871	30
00F81F9CC773EBF9	23
00F878436C9CEA66	24
00F88FD737CAAC8F	19
00F8A4CF9FAD5FF0	30
00F8CCED60BDCD04	34
00F90E2D7686FF51	25
00F97C1945574D99	38
00F9A9E9EF066FC2	32
00F9EF8919CC14A5	21
00F9FBDE6BA4C81A	33
00FB1BA450E025D1	35
00FB40085C05DB34	30
00FB8183F5626419	33
00FBB31DCDCC2F70	29
00FBE623392946AF	29
00FC4364281D9C65	27
00FD4E389878C918	30
00FDA8F370ED338F	28
00FE5B3A61A31AF5	37
00FEA0DA19D7118D	24
00FEBBC7EBC4C64B	31
00FFD05D4A770E7D	30
010034E8A7906AD6	20
0101973BB30CE5EC	24
0101D8292BB139FF	29
0102254B6E5D8B8B	27
01022873D98F8743	39
010229855F5DD6EE	29
01024D7BD8ECCB79	24
01025B3C42D3D092	26
01029431FEA55021	33
0102AEA32570C20A	26
010307AEAF9DC03A	28
0103D25A4F1B2F3E	30
0103D792ED0C33AF	32
0103EE937A0B916D	36
01042B1CE10D8C68	29
01046B003F43E5F4	33
01049D418A2C8F9B	31
0104B629C44C230B	27
01055194EEB1F5B8	25
01060276B8F6B432	23
010716C1EA23A7D4	31
010829E55876C073	34
010878C13160EA1B	33
01087BCACC7668EC	29
0108B3E5C528C91F	28
01095BB80AA36ECE	26
010969B4C7BB8A04	31
0109810F01FFECB5	27
0109960915EC9D85	39
0109CD8B191A1E3B	33
010A4353A1BEFA94	23
010AA53EECA073FC	35
010AA9F150958BA1	32
010AD6E4493AA5F6	29
010B3C3A04C1DA22	33
010B4093A13FDBFD	29
010B8AA5444B292E	20
010B942536E6285B	30
010BA05650631722	33
010BDAA8B5C3B259	27
010C6F0F662DCF0F	31
010CBC28C0C40EC6	28
010CC01678239CC6	33
010CD9D4528E47FA	25
010CE287B6403472	29
010D933B5AC1EE6E	27
010DA120CBCE01B3	30
010DB4A083FE4204	22
010E3D366EC24AE7	31
010E59EB614F6A94	31
010E6E6798CE5814	37
010E7412B23E5257	30
010E78164F5451DA	29
010E8B47CFC53791	33
010EEE8EAFDE4C72	31
010F31BFACC454F0	22
010FAD18F5BD358E	28
010FDAC661F93355	21
010FE2222EC1872D	26
01103C684B51B2E1	14
011056363C84D229	31
0110666960C1E686	35
0110A0F83DD41242	29
0110B085526F45C3	30
0110D497344C4DCE	25
0110EEB34221847E	34
0111380B56623342	41
0112C0D6C8945352	26
0112D6312973A5A2	31
01131AD16052C91F	32
0113F995B939F687	30
01140F2D28D32D00	33
0114344B27871EE2	29
0114A6DEA701A50C	33
0114D305D80075E0	27
01152C415DC73BED	23
01153919239883E1	33
01162C53773F1625	27
0116AD1EAAB05624	28
0116BED20979E46C	20
0116F056B3DF54B5	34
011797024054A5DE	27
01180198FBB24A37	30
011829584DDB90E6	37
0118515F84E54E8D	30
01187E7F1A5E9DBF	30
0118AA07D9FCF084	24
01191F5BE5F4C0C9	30
011928146866CB9E	32
01195E2860ED2880	31
0119703162CBC128	30
01197F842CA2B736	31
011980ED9EFBF2CF	28
0119C2BDB2E80954	30
011A1ACD6BC6CD3A	34
011A3B7425C6A0F8	31
011A7A26F7277D43	29
011A893886B5758E	29
011ACA65C2BF70B2	33
011AFB2BECD4AE6D	32
011C9BECA041FC08	24
011CB7601ABA4B0D	35
011CCDF020509846	21
011D29339471277C	33
011D2934AA0A83F0	36
011D75EE3C944709	17
011DB2E91E9B1E23	27
011FC23D5B202513	30
011FF013A0075978	18
011FFF8D8CFB0487	29
01202AAF54B8D0E4	36
01206F8B5C332920	30
0120AD1CDA28BC55	29
01217D8CCF2303F3	30
0121D9525F9D1677	29
0122BB019AFF0398	34
0122E6878A5832D3	31
0123212D9CB17EBD	31
0123D43F1FD6E461	38
01242118D3BD6D56	23
012465679122DC9B	31
01248CB5F7805F5B	26
0124B7CBE27FDCA1	28
0124DD1A8588EB96	32
01252D8873B0125C	25
0125645A018BBA96	34
01260B000169EB38	30
0126EAA726D0D8B6	31
01275C73AEE696F0	28
012792A4AEFB276C	32
0127F92F65FE5D3B	26
0128043EB62ED1BC	27
012820A6AF80D659	25
01283833E03442D6	31
012891CD0E0185EC	33
01289EFA9694591B	27
0128FEBF12D8FDC9	24
01290F0944489009	41
0129377CE9AD2024	22
01294F1BC43BF7D2	16
01298336C522834E	27
012A1124F19EA339	18
012A62B60A6B538F	37
012A7C9B9CCAC0B5	22
012AC994409F0991	23
012B5C8CCC97BC96	30
012B77D567249022	19
012B7EA8118F91CD	31
012B8E2DEED80C11	26
012BF695752CA070	29
012C2E349EB8A847	20
012CE88F4637BE3D	28
012D6894BD18377F	28
012DDA8D5D8DBEE3	28
012DF54F3598E625	31
012E59292E1CD932	31
012E6734325B852A	20
012EA0EBC604BFC6	25
012EEBE562C38870	30
012F2C41FF71F866	32
01308257D96EAD8C	24
01308EEB7B35EB30	29
0130D852E9287EC6	42
01315FB4F4C6697E	31
01318C6D36986642	23
0131A357507E562E	28
0131A9A733582EEF	30
0131DC77E2B45967	18
01324CAD5E1D098F	29
01329226CF448617	28
013303DB3B09D5EB	26
01330D55CD008EA7	26
0133B8182BDB1F59	29
0133C035F5F73317	34
0133EBB461CFDE43	23
0134768290A3E7F8	29
01348C95E25A0175	34
01361CF0DA53611D	27
01362B2F950D7B2B	26
01370968334CEB6B	26
01379566E545467B	35
01382D70193D660F	34
0138402CB1740A50	28
0138D54BE3D08827	28
